#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000005l:6624556-6628262   -            420 136033at3193         -            286  7.4e-121  401.1   7.4   1   2  1.1e-101   4.7e-99  329.6   1.0     8   217    72   306    67   325 0.86 -
h1tg000005l:6624556-6628262   -            420 136033at3193         -            286  7.4e-121  401.1   7.4   2   2   3.6e-23   1.5e-20   72.0   1.3   235   286   365   420   308   420 0.85 -
h1tg000004l:95895349-95905817 -            627 136033at3193         -            286   0.00089   16.9   0.1   1   2     0.016       6.8    4.2   0.0    38    57   129   148   118   159 0.90 -
h1tg000004l:95895349-95905817 -            627 136033at3193         -            286   0.00089   16.9   0.1   2   2   0.00022     0.093   10.3   0.0    37    61   337   361   327   374 0.84 -
h1tg000010l:2689169-2708302   -           1458 136033at3193         -            286    0.0029   15.2   1.9   1   2     0.019       7.9    4.0   0.1    37    57   640   660   619   669 0.90 -
h1tg000010l:2689169-2708302   -           1458 136033at3193         -            286    0.0029   15.2   1.9   2   2   0.00026      0.11   10.1   0.3    36    62  1250  1276  1246  1290 0.87 -
h1tg000008l:45885668-45885868 -             67 136033at3193         -            286     0.005   14.5   0.0   1   1   1.3e-05    0.0056   14.3   0.0    38    57     9    28     4    46 0.88 -
h1tg000008l:7149483-7157110   -            402 136033at3193         -            286    0.0051   14.5   0.2   1   3   5.1e-05     0.022   12.4   0.0    16    55    72   112    64   118 0.84 -
h1tg000008l:7149483-7157110   -            402 136033at3193         -            286    0.0051   14.5   0.2   2   3       1.9   8.1e+02   -2.6   0.0    15    48   162   196   157   215 0.76 -
h1tg000008l:7149483-7157110   -            402 136033at3193         -            286    0.0051   14.5   0.2   3   3       1.8   7.7e+02   -2.5   0.2   147   171   209   233   185   246 0.75 -
h1tg000009l:13003955-13006792 -            332 136033at3193         -            286    0.0079   13.8   0.1   1   2   6.4e-05     0.027   12.1   0.1    37    57   108   128    91   143 0.88 -
h1tg000009l:13003955-13006792 -            332 136033at3193         -            286    0.0079   13.8   0.1   2   2       1.2   5.2e+02   -2.0   0.0    81   102   214   235   206   252 0.78 -
h1tg000005l:64508885-64511910 -            392 136033at3193         -            286    0.0083   13.8   0.1   1   3     0.055        23    2.4   0.0    38    66    83   111    72   133 0.88 -
h1tg000005l:64508885-64511910 -            392 136033at3193         -            286    0.0083   13.8   0.1   2   3       2.4     1e+03   -2.9   0.0    64   100   198   234   189   237 0.78 -
h1tg000005l:64508885-64511910 -            392 136033at3193         -            286    0.0083   13.8   0.1   3   3    0.0009      0.38    8.3   0.1    38    61   362   385   358   390 0.85 -
h1tg000019l:18654652-18656460 -            603 136033at3193         -            286     0.022   12.4   0.2   1   2      0.15        64    1.0   0.0    39    53    88   102    83   106 0.88 -
h1tg000019l:18654652-18656460 -            603 136033at3193         -            286     0.022   12.4   0.2   2   2   0.00082      0.35    8.4   0.0    36    57   414   435   386   443 0.88 -
h1tg000019l:18667447-18696676 -            572 136033at3193         -            286     0.023   12.3   0.0   1   2      0.14        59    1.1   0.0    39    53    57    71    52    75 0.88 -
h1tg000019l:18667447-18696676 -            572 136033at3193         -            286     0.023   12.3   0.0   2   2   0.00079      0.33    8.5   0.0    36    57   383   404   355   412 0.89 -
h1tg000019l:30030756-30030956 -             67 136033at3193         -            286     0.024   12.2   0.0   1   1   7.1e-05      0.03   11.9   0.0    38    57     9    28     6    37 0.90 -
h1tg000002l:69837990-69838942 -            218 136033at3193         -            286     0.026   12.1   0.0   1   1   0.00011     0.046   11.3   0.0    38    64    31    57    14    70 0.75 -
h1tg000015l:11361415-11363952 -            846 136033at3193         -            286     0.027   12.1   0.1   1   1   0.00014      0.06   10.9   0.1    19    57   155   194   151   201 0.82 -
h1tg000005l:3674541-3676601   -            507 136033at3193         -            286      0.03   11.9   0.3   1   2      0.15        65    1.0   0.0    39    53     2    16     1    20 0.88 -
h1tg000005l:3674541-3676601   -            507 136033at3193         -            286      0.03   11.9   0.3   2   2   0.00079      0.33    8.5   0.1    37    57   325   345   317   354 0.88 -
h1tg000002l:22519856-22527173 -            349 136033at3193         -            286     0.037   11.6   0.4   1   2   0.00026      0.11   10.1   0.0    38    57    67    86    59   103 0.87 -
h1tg000002l:22519856-22527173 -            349 136033at3193         -            286     0.037   11.6   0.4   2   2      0.79   3.4e+02   -1.4   0.0   141   169   113   142   102   152 0.75 -
h1tg000019l:12648061-12649236 -            392 136033at3193         -            286     0.038   11.6   0.1   1   2       0.7     3e+02   -1.2   0.0   242   283     1    41     1    43 0.81 -
h1tg000019l:12648061-12649236 -            392 136033at3193         -            286     0.038   11.6   0.1   2   2   0.00036      0.15    9.6   0.2    37    62   187   213   177   222 0.81 -
h1tg000004l:89489973-89510744 -            196 136033at3193         -            286     0.046   11.3   0.0   1   1   0.00016     0.066   10.8   0.0    24    60    17    54     4    72 0.77 -
h1tg000001l:46965090-46965350 -             87 136033at3193         -            286     0.068   10.8   0.0   1   1   0.00016     0.068   10.8   0.0    37    57    29    49     8    67 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/136033at3193.hmm
# Target file:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/hmmer_output/initial_run_results/136033at3193.out --cpu 1 /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/136033at3193.hmm /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default
# Date:            Mon Oct 17 13:48:28 2022
# [ok]
