#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000001l:99521377-99522702 -            442 106163at3193         -            287    8e-159  526.3   3.3   1   1  7.1e-159  8.4e-156  516.3   3.3     1   287   111   441   111   441 0.93 -
h1tg000015l:12156231-12161155 -            395 106163at3193         -            287   1.2e-06   26.9   0.2   1   1   3.6e-08   4.3e-05   21.8   0.2     1   216    84   321    84   334 0.69 -
h1tg000017l:16344523-16349840 -            401 106163at3193         -            287     1e-05   23.8   0.1   1   2    0.0002      0.25    9.4   0.0     1    37    82   118    82   133 0.84 -
h1tg000017l:16344523-16349840 -            401 106163at3193         -            287     1e-05   23.8   0.1   2   2   2.6e-05     0.032   12.4   0.0    46    92   163   215   155   254 0.79 -
h1tg000008l:5624552-5628609   -            399 106163at3193         -            287   0.00053   18.2   0.0   1   2   0.00047      0.57    8.2   0.0     3    27    70    94    68   103 0.89 -
h1tg000008l:5624552-5628609   -            399 106163at3193         -            287   0.00053   18.2   0.0   2   2    0.0008      0.96    7.5   0.0   150   214   252   316   231   336 0.82 -
h1tg000008l:72699734-72710539 -            573 106163at3193         -            287     0.012   13.8   0.1   1   3     6e-05     0.072   11.2   0.1     1    47   104   150   104   217 0.92 -
h1tg000008l:72699734-72710539 -            573 106163at3193         -            287     0.012   13.8   0.1   2   3       0.3   3.5e+02   -0.9   0.0   104   126   464   486   448   497 0.71 -
h1tg000008l:72699734-72710539 -            573 106163at3193         -            287     0.012   13.8   0.1   3   3       1.5   1.8e+03   -3.2   0.0   271   285   554   568   546   569 0.78 -
h1tg000015l:14287623-14378007 -            185 106163at3193         -            287     0.068   11.3   0.5   1   1   7.6e-05     0.091   10.8   0.5     1    61     2    66     2    92 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/106163at3193.hmm
# Target file:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/hmmer_output/initial_run_results/106163at3193.out --cpu 1 /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/106163at3193.hmm /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default
# Date:            Mon Oct 17 13:48:28 2022
# [ok]
