#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000002l:9194416-9195783   -            456 109434at3193         -            325  9.4e-101  335.6   7.6   1   3   1.9e-20   2.7e-17   61.3   0.1     1    65     8    93     8    98 0.81 -
h1tg000002l:9194416-9195783   -            456 109434at3193         -            325  9.4e-101  335.6   7.6   2   3   2.1e-19     3e-16   57.9   0.2    66   132   123   203   119   204 0.80 -
h1tg000002l:9194416-9195783   -            456 109434at3193         -            325  9.4e-101  335.6   7.6   3   3     4e-68   5.8e-65  218.0   0.8   131   313   230   431   221   444 0.88 -
h1tg000002l:9220084-9221412   -            443 109434at3193         -            325   8.6e-90  299.6   5.9   1   3   4.2e-18     6e-15   53.6   0.0     3    65     2    83     1    92 0.77 -
h1tg000002l:9220084-9221412   -            443 109434at3193         -            325   8.6e-90  299.6   5.9   2   3   1.4e-18     2e-15   55.2   0.2    66   132   113   193   109   194 0.81 -
h1tg000002l:9220084-9221412   -            443 109434at3193         -            325   8.6e-90  299.6   5.9   3   3   8.3e-60   1.2e-56  190.7   1.1   125   313   214   421   203   434 0.89 -
h1tg000002l:27498316-27501040 -            415 109434at3193         -            325   4.5e-06   24.5   0.0   1   1   6.5e-09   9.3e-06   23.4   0.0   132   203   151   221   143   229 0.80 -
h1tg000016l:40247526-40249940 -            223 109434at3193         -            325     0.032   11.8   0.0   1   2     6e-05     0.086   10.4   0.0   160   218    31    89    12   102 0.79 -
h1tg000016l:40247526-40249940 -            223 109434at3193         -            325     0.032   11.8   0.0   2   2       0.2   2.9e+02   -1.2   0.0    41    65   140   164    96   168 0.67 -
h1tg000009l:7877076-7878549   -            331 109434at3193         -            325      0.07   10.7   0.0   1   2   0.00012      0.18    9.4   0.0   160   218    33    91    16   106 0.79 -
h1tg000009l:7877076-7878549   -            331 109434at3193         -            325      0.07   10.7   0.0   2   2      0.28     4e+02   -1.7   0.0    41    65   142   166    99   170 0.70 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/109434at3193.hmm
# Target file:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/hmmer_output/initial_run_results/109434at3193.out --cpu 1 /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/109434at3193.hmm /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default
# Date:            Mon Oct 17 13:48:27 2022
# [ok]
