['h2tg000001l', 102371341]
['h2tg000004l', 99123554]
['h2tg000008l', 80652506]
['h2tg000005l', 74472949]
['h2tg000002l', 73257514]
['h2tg000010l', 60936539]
['h2tg000016l', 40924193]
['h2tg000007l', 39033468]
['h2tg000019l', 34857406]
['h2tg000013l', 34796979]
['h2tg000009l', 25634638]
['h2tg000014l', 22094062]
['h2tg000006l', 20777141]
['h2tg000017l', 18663685]
['h2tg000011l', 17621871]
['h2tg000015l', 17338921]
['h2tg000012l', 13148120]
['h2tg000026l', 9399228]
['h2tg000021l', 8293131]
['h2tg000022l', 4548048]
['h2tg000003l', 4505518]
['h2tg000018l', 3762756]
['h2tg000024l', 1845150]
['h2tg000023l', 712270]
['h2tg000020l', 561356]
['h2tg000031c', 476715]
['h2tg000034l', 272497]
['h2tg000039l', 255649]
['h2tg000033l', 254132]
['h2tg000037l', 143335]
['h2tg000045l', 131962]
['h2tg000036c', 116865]
['h2tg000030l', 95669]
['h2tg000027l', 90585]
['h2tg000038l', 89177]
['h2tg000040l', 83374]
['h2tg000052l', 69801]
['h2tg000041l', 60626]
['h2tg000044l', 58022]
['h2tg000047l', 57549]
['h2tg000028l', 57292]
['h2tg000032l', 56350]
['h2tg000042l', 53549]
['h2tg000050l', 52871]
['h2tg000035l', 52776]
['h2tg000051l', 52597]
['h2tg000029l', 50933]
['h2tg000025l', 47888]
['h2tg000048l', 47167]
['h2tg000046l', 47140]
['h2tg000043l', 40536]
['h2tg000049l', 27469]
['h2tg000053l', 22152]
