h1tg000001l	NC_066031.1	96.703	9160	179	20	21905429	21914480	58538	67682	0.0	15128
h1tg000004l	NC_066031.1	97.230	6896	147	6	50303268	50310120	90180	97074	0.0	11636
h1tg000004l	NC_066031.1	97.217	6899	148	6	50303268	50310123	144017	137120	0.0	11636
h1tg000011l	NC_066031.1	96.174	10689	211	48	19239808	19250389	19192	29789	0.0	17291
h1tg000062c	NC_066031.1	97.493	63822	877	213	69604	132987	82728	19192	0.0	1.083e+05
h1tg000062c	NC_066031.1	97.478	62723	866	211	239741	302026	19192	81635	0.0	1.064e+05
h1tg000062c	NC_066031.1	98.547	43442	445	54	177147	220506	107920	151257	0.0	76555
h1tg000062c	NC_066031.1	98.547	43442	445	54	1209	44568	151257	107920	0.0	76555
h1tg000062c	NC_066031.1	99.263	25109	69	18	1104	26152	82804	107856	0.0	45236
h1tg000062c	NC_066031.1	99.271	25095	67	18	44564	69598	107842	82804	0.0	45221
h1tg000062c	NC_066031.1	99.383	24973	69	14	195563	220506	107856	82940	0.0	45184
h1tg000062c	NC_066031.1	99.391	24959	67	14	152222	177151	82940	107842	0.0	45170
h1tg000062c	NC_066031.1	99.391	24959	67	14	44564	69493	126355	151257	0.0	45170
h1tg000062c	NC_066031.1	99.391	24959	67	14	152222	177151	151257	126355	0.0	45170
h1tg000062c	NC_066031.1	97.359	19313	267	85	133021	152212	19191	1	0.0	32614
h1tg000062c	NC_066031.1	97.359	19313	267	85	220516	239707	1	19191	0.0	32614
