h2tg000001l	NC_066031.1	96.703	9160	179	20	21885602	21894653	58538	67682	0.0	15128
h2tg000004l	NC_066031.1	97.230	6896	147	6	49955812	49962664	90180	97074	0.0	11636
h2tg000004l	NC_066031.1	97.217	6899	148	6	49955812	49962667	144017	137120	0.0	11636
h2tg000011l	NC_066031.1	96.174	10689	211	48	34996938	35007519	29789	19192	0.0	17291
h2tg000051l	NC_066031.1	97.493	63822	877	213	59454	122837	19192	82728	0.0	1.083e+05
h2tg000051l	NC_066031.1	98.547	43442	445	54	147873	191232	107920	151257	0.0	76555
h2tg000051l	NC_066031.1	98.655	40285	372	48	8	40219	111070	151257	0.0	71233
h2tg000051l	NC_066031.1	97.639	40537	552	127	191343	231623	82728	42341	0.0	69182
h2tg000051l	NC_066031.1	99.263	25109	69	18	166289	191337	107856	82804	0.0	45236
h2tg000051l	NC_066031.1	99.271	25095	67	18	122843	147877	82804	107842	0.0	45221
h2tg000051l	NC_066031.1	99.383	24973	69	14	15276	40219	107856	82940	0.0	45184
h2tg000051l	NC_066031.1	99.391	24959	67	14	122948	147877	151257	126355	0.0	45170
h2tg000051l	NC_066031.1	97.359	19313	267	85	40229	59420	1	19191	0.0	32614
h2tg000157l	NC_066031.1	98.046	7934	114	16	2340	10257	1	7909	0.0	13754
