#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000011l:11557036-11563790 -            360 127464at3193         -            295  2.6e-126  419.4   4.9   1   2  4.8e-109  1.9e-106  354.2   1.7     1   249     5   285     5   289 0.93 -
h1tg000011l:11557036-11563790 -            360 127464at3193         -            295  2.6e-126  419.4   4.9   2   2   3.2e-21   1.3e-18   66.0   0.1   247   295   308   359   305   359 0.95 -
h1tg000008l:26484844-26501106 -            315 127464at3193         -            295   6.7e-13   47.2   0.4   1   1   2.1e-15   8.4e-13   46.8   0.4    26   139     8   124     1   163 0.77 -
h1tg000001l:17570614-17576579 -            363 127464at3193         -            295   4.3e-12   44.5   2.3   1   1   1.5e-14   6.1e-12   44.0   2.3     9   123   131   251   125   268 0.82 -
h1tg000009l:6046552-6046818   -             89 127464at3193         -            295   8.9e-11   40.2   0.4   1   1   2.4e-13   9.5e-11   40.1   0.4    31   112     3    86     1    88 0.90 -
h1tg000001l:94025794-94026123 -            110 127464at3193         -            295   4.9e-09   34.5   0.5   1   2   7.6e-11     3e-08   31.9   0.1    42    94     5    61     2    64 0.89 -
h1tg000001l:94025794-94026123 -            110 127464at3193         -            295   4.9e-09   34.5   0.5   2   2      0.21        84    0.9   0.0    93   112    90   109    83   110 0.71 -
h1tg000002l:16865063-16879800 -            980 127464at3193         -            295   3.8e-08   31.6   8.6   1   3   3.1e-05     0.012   13.5   0.3    41   116    18    98     5   137 0.77 -
h1tg000002l:16865063-16879800 -            980 127464at3193         -            295   3.8e-08   31.6   8.6   2   3   5.9e-05     0.023   12.6   1.0    40   119   332   411   323   452 0.79 -
h1tg000002l:16865063-16879800 -            980 127464at3193         -            295   3.8e-08   31.6   8.6   3   3   0.00086      0.34    8.7   0.1    69   113   463   507   434   538 0.82 -
h1tg000005l:11959183-11968752 -            766 127464at3193         -            295   1.4e-07   29.7   0.9   1   1   9.1e-10   3.6e-07   28.3   0.9    19   111    57   160    45   196 0.78 -
h1tg000005l:6379608-6393235   -           1056 127464at3193         -            295   3.8e-06   25.0   0.3   1   3   5.7e-08   2.3e-05   22.4   0.0    43   105   181   247   175   268 0.85 -
h1tg000005l:6379608-6393235   -           1056 127464at3193         -            295   3.8e-06   25.0   0.3   2   3       6.1   2.4e+03   -3.9   0.1    79   125   530   576   529   606 0.66 -
h1tg000005l:6379608-6393235   -           1056 127464at3193         -            295   3.8e-06   25.0   0.3   3   3         1   4.1e+02   -1.4   0.0    63    88   782   807   774   816 0.88 -
h1tg000012l:2749446-2751041   -            532 127464at3193         -            295   5.6e-06   24.4   0.0   1   1   2.2e-08   8.9e-06   23.8   0.0    58   134    66   146    26   155 0.89 -
h1tg000002l:22751363-22751551 -             63 127464at3193         -            295     6e-06   24.3   0.0   1   1   1.6e-08   6.5e-06   24.2   0.0    57   103    10    56     3    62 0.90 -
h1tg000019l:18225789-18226031 -             81 127464at3193         -            295   9.2e-06   23.7   0.0   1   1   2.3e-08   9.2e-06   23.7   0.0    57    99    39    81     3    81 0.92 -
h1tg000017l:11389948-11390139 -             64 127464at3193         -            295   3.3e-05   21.9   0.0   1   1   8.4e-08   3.3e-05   21.9   0.0    41    92     9    64     1    64 0.80 -
h1tg000004l:89307565-89307807 -             81 127464at3193         -            295   4.7e-05   21.4   0.5   1   1   4.1e-07   0.00016   19.6   0.5    45    99    13    81     1    81 0.73 -
h1tg000008l:14764620-14764991 -            124 127464at3193         -            295   0.00014   19.9   0.1   1   1   4.2e-07   0.00017   19.6   0.1    21   111    10   108     2   118 0.76 -
h1tg000016l:34541387-34541578 -             64 127464at3193         -            295    0.0011   17.0   0.0   1   1   2.7e-06    0.0011   17.0   0.0    56    92    28    64     1    64 0.80 -
h1tg000011l:631652-635649     -            204 127464at3193         -            295    0.0027   15.6   0.1   1   1   9.2e-06    0.0037   15.2   0.1    29   113    65   151    33   196 0.73 -
h1tg000009l:12824179-12828798 -            252 127464at3193         -            295    0.0033   15.4   0.7   1   1   1.1e-05    0.0043   15.0   0.7    12   138   121   248   117   252 0.81 -
h1tg000009l:21189081-21197069 -            531 127464at3193         -            295    0.0095   13.8   1.3   1   2      0.83   3.3e+02   -1.1   0.1    82    97   320   335   313   350 0.77 -
h1tg000009l:21189081-21197069 -            531 127464at3193         -            295    0.0095   13.8   1.3   2   2   4.8e-05     0.019   12.8   0.2    25    77   454   510   445   529 0.73 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/127464at3193.hmm
# Target file:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/hmmer_output/initial_run_results/127464at3193.out --cpu 1 /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/127464at3193.hmm /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default
# Date:            Mon Oct 17 13:48:27 2022
# [ok]
