#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000008l:26484844-26501106 -            315 121539at3193         -            279    8e-147  486.5   6.3   1   1  4.7e-148  1.7e-145  482.2   6.3     1   279     9   313     9   313 0.93 -
h1tg000009l:6046552-6046818   -             89 121539at3193         -            279   1.9e-24   85.1   0.7   1   1   5.7e-27   2.1e-24   85.0   0.7     3    90     1    89     1    89 0.98 -
h1tg000001l:17570614-17576579 -            363 121539at3193         -            279   9.2e-15   53.3   1.1   1   1   3.9e-17   1.4e-14   52.7   1.1     2   122   150   274   149   282 0.85 -
h1tg000005l:11959183-11968752 -            766 121539at3193         -            279   2.2e-12   45.5   0.1   1   1     1e-14   3.6e-12   44.8   0.1     3   121    67   195    65   219 0.87 -
h1tg000009l:21189081-21197069 -            531 121539at3193         -            279   3.8e-12   44.7   0.5   1   1   1.8e-14   6.5e-12   44.0   0.5     2    46   457   501   456   517 0.92 -
h1tg000017l:11389948-11390139 -             64 121539at3193         -            279   2.6e-11   42.0   0.0   1   1   7.5e-14   2.7e-11   41.9   0.0     5    61     1    57     1    64 0.91 -
h1tg000009l:12824179-12828798 -            252 121539at3193         -            279   1.6e-10   39.4   0.2   1   1   5.5e-13     2e-10   39.1   0.2     4   111   132   243   129   250 0.83 -
h1tg000011l:11557036-11563790 -            360 121539at3193         -            279   1.8e-10   39.2   0.9   1   1   8.5e-13     3e-10   38.5   0.9     2   128    34   169    33   205 0.82 -
h1tg000002l:22751363-22751551 -             63 121539at3193         -            279     3e-10   38.5   0.0   1   1   9.1e-13   3.3e-10   38.4   0.0    24    80     1    58     1    62 0.95 -
h1tg000008l:14764620-14764991 -            124 121539at3193         -            279   9.6e-10   36.9   0.0   1   1   3.1e-12   1.1e-09   36.6   0.0     2    90    17   112    16   122 0.81 -
h1tg000016l:34541387-34541578 -             64 121539at3193         -            279   4.4e-09   34.7   0.0   1   1   1.3e-11   4.5e-09   34.6   0.0     5    65     1    62     1    64 0.91 -
h1tg000001l:94025794-94026123 -            110 121539at3193         -            279   6.5e-09   34.1   2.5   1   2   1.1e-08     4e-06   25.0   0.3    10    68     1    60     1    66 0.93 -
h1tg000001l:94025794-94026123 -            110 121539at3193         -            279   6.5e-09   34.1   2.5   2   2   0.00056       0.2    9.6   0.1    65    87    87   109    81   110 0.92 -
h1tg000002l:16865063-16879800 -            980 121539at3193         -            279   2.4e-08   32.3   2.3   1   3   0.00036      0.13   10.2   0.1    38   117    41   122    31   172 0.80 -
h1tg000002l:16865063-16879800 -            980 121539at3193         -            279   2.4e-08   32.3   2.3   2   3    0.0018      0.65    7.9   0.0     6    62   292   348   289   354 0.91 -
h1tg000002l:16865063-16879800 -            980 121539at3193         -            279   2.4e-08   32.3   2.3   3   3   0.00014     0.049   11.6   0.0    12    88   396   473   388   485 0.90 -
h1tg000004l:89307565-89307807 -             81 121539at3193         -            279   2.2e-05   22.5   0.0   1   1   8.2e-08   2.9e-05   22.1   0.0     5    69     1    76     1    80 0.78 -
h1tg000011l:631652-635649     -            204 121539at3193         -            279   3.5e-05   21.9   0.1   1   1   1.3e-07   4.6e-05   21.5   0.1     3   123    65   184    63   194 0.84 -
h1tg000012l:2749446-2751041   -            532 121539at3193         -            279   0.00054   18.0   0.0   1   1   2.6e-06   0.00094   17.2   0.0    36   100    68   133    56   156 0.78 -
h1tg000019l:18225789-18226031 -             81 121539at3193         -            279    0.0027   15.7   0.0   1   1   8.5e-06     0.003   15.5   0.0     5    73     1    80     1    81 0.81 -
h1tg000009l:11540185-11550194 -            532 121539at3193         -            279     0.025   12.5   1.0   1   3      0.65   2.3e+02   -0.5   0.0     5    28    49    72    45    91 0.82 -
h1tg000009l:11540185-11550194 -            532 121539at3193         -            279     0.025   12.5   1.0   2   3    0.0003      0.11   10.4   0.0    51    94   333   377   299   419 0.85 -
h1tg000009l:11540185-11550194 -            532 121539at3193         -            279     0.025   12.5   1.0   3   3         4   1.5e+03   -3.1   0.0    73   102   491   521   475   531 0.60 -
h1tg000005l:11823711-11824949 -            413 121539at3193         -            279      0.03   12.3   0.1   1   3       2.3   8.2e+02   -2.3   0.0    21    54   150   185   134   191 0.77 -
h1tg000005l:11823711-11824949 -            413 121539at3193         -            279      0.03   12.3   0.1   2   3   0.00036      0.13   10.2   0.0    65    88   242   265   234   278 0.85 -
h1tg000005l:11823711-11824949 -            413 121539at3193         -            279      0.03   12.3   0.1   3   3       5.7   2.1e+03   -3.6   0.0    79    91   326   338   324   359 0.81 -
h1tg000017l:443915-444985     -            357 121539at3193         -            279      0.12   10.3   1.6   1   3      0.16        56    1.5   0.0     9    34    45    70    42   102 0.83 -
h1tg000017l:443915-444985     -            357 121539at3193         -            279      0.12   10.3   1.6   2   3      0.22        77    1.1   0.0    60    86   178   204   114   217 0.71 -
h1tg000017l:443915-444985     -            357 121539at3193         -            279      0.12   10.3   1.6   3   3     0.023       8.3    4.3   0.4    66    87   333   354   258   356 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/121539at3193.hmm
# Target file:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/hmmer_output/initial_run_results/121539at3193.out --cpu 1 /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/121539at3193.hmm /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default
# Date:            Mon Oct 17 13:48:27 2022
# [ok]
