#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000019l:1178295-1193062   -           1838 1388at3193           -           1412         0 1770.0  46.3   1   4  6.6e-261  2.4e-258  859.2  10.7     7   664    31   826    25   831 0.85 -
h1tg000019l:1178295-1193062   -           1838 1388at3193           -           1412         0 1770.0  46.3   2   4   7.5e-35   2.7e-32  110.2   2.2   664   862   860  1142   849  1146 0.76 -
h1tg000019l:1178295-1193062   -           1838 1388at3193           -           1412         0 1770.0  46.3   3   4   1.2e-29   4.1e-27   93.0   0.4   862   993  1167  1345  1158  1349 0.76 -
h1tg000019l:1178295-1193062   -           1838 1388at3193           -           1412         0 1770.0  46.3   4   4  1.8e-215  6.3e-213  708.7  11.2   987  1412  1374  1838  1364  1838 0.91 -
h1tg000015l:7296761-7296976   -             72 1388at3193           -           1412   8.4e-06   22.4   1.2   1   1   2.3e-08   8.4e-06   22.4   1.2  1360  1411    24    70     5    71 0.80 -
h1tg000009l:9360205-9360444   -             80 1388at3193           -           1412   4.1e-05   20.1   1.3   1   1   1.2e-07   4.3e-05   20.0   1.3  1360  1411    32    78    20    79 0.77 -
h1tg000018l:79881-80102       -             74 1388at3193           -           1412   0.00024   17.6   0.3   1   1   6.6e-07   0.00024   17.6   0.3  1382  1412    33    62     6    62 0.81 -
h1tg000015l:7311338-7311643   -            102 1388at3193           -           1412    0.0005   16.5   2.1   1   1   1.5e-06   0.00055   16.4   2.1  1360  1411    54   100    42   101 0.81 -
h1tg000015l:5898435-5901233   -            933 1388at3193           -           1412     0.002   14.5   0.5   1   1   7.6e-06    0.0027   14.0   0.5  1352  1398    11    54     6    65 0.90 -
h1tg000019l:2416229-2416474   -             82 1388at3193           -           1412    0.0031   13.8   1.3   1   1   9.1e-06    0.0033   13.8   1.3  1382  1410    51    77    23    79 0.72 -
h1tg000008l:73270084-73270359 -             92 1388at3193           -           1412    0.0047   13.3   1.7   1   1   1.4e-05     0.005   13.2   1.7  1361  1411     4    49     1    50 0.77 -
h1tg000001l:78409087-78409374 -             96 1388at3193           -           1412     0.016   11.5   1.0   1   1   4.9e-05     0.018   11.4   1.0  1359  1410    36    81    26    83 0.76 -
h1tg000006l:50469680-50469928 -             83 1388at3193           -           1412     0.018   11.3   1.6   1   1   5.4e-05     0.019   11.2   1.6  1361  1410    33    77    20    79 0.79 -
h1tg000010l:60429614-60431890 -            759 1388at3193           -           1412     0.019   11.2   0.1   1   1   7.5e-05     0.027   10.8   0.1   770   837   501   568   476   577 0.87 -
h1tg000019l:12497632-12498060 -            143 1388at3193           -           1412     0.021   11.1   0.7   1   1   6.8e-05     0.024   10.9   0.7  1361  1410    43    87    36    89 0.76 -
h1tg000011l:3615957-3616280   -            108 1388at3193           -           1412     0.025   10.8   1.7   1   1   7.3e-05     0.026   10.8   1.7  1361  1410    28    72     8    74 0.70 -
h1tg000009l:8652485-8653021   -            179 1388at3193           -           1412     0.026   10.8   0.1   1   1   8.4e-05      0.03   10.6   0.1  1381  1410   149   177   114   179 0.67 -
h1tg000004l:97363169-97363369 -             67 1388at3193           -           1412     0.042   10.1   0.8   1   1   0.00011     0.039   10.2   0.8  1383  1409    42    66    19    67 0.81 -
h1tg000008l:70089842-70090348 -            169 1388at3193           -           1412      0.07    9.4   1.0   1   1   0.00023     0.081    9.2   1.0  1384  1409   120   143   100   146 0.88 -
h1tg000017l:2156746-2156970   -             75 1388at3193           -           1412     0.084    9.1   0.4   1   1   0.00019      0.07    9.4   0.4  1384  1410    48    72     9    74 0.80 -
h1tg000001l:79882695-79882955 -             87 1388at3193           -           1412       0.1    8.9   0.1   1   1    0.0003      0.11    8.7   0.1  1360  1397    53    87    48    87 0.77 -
h1tg000009l:7886375-7886563   -             63 1388at3193           -           1412      0.12    8.6   0.7   1   1   0.00037      0.13    8.5   0.7  1362  1410    16    59    11    61 0.73 -
h1tg000004l:94626239-94626421 -             61 1388at3193           -           1412      0.19    8.0   3.1   1   1   0.00057       0.2    7.8   3.1  1361  1408    18    60    13    61 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/1388at3193.hmm
# Target file:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas
# Option settings: hmmsearch --domtblout /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/hmmer_output/initial_run_results/1388at3193.out --cpu 1 /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_downloads/lineages/embryophyta_odb10/hmms/1388at3193.hmm /public/groups/meyerlab/ditt/assemblies/hifiasm/default/busco_hap1_o/run_embryophyta_odb10/metaeuk_output/initial_results/ditt_contamfiltered_hifiasm.asm.bp.hap1.p_ctg.fa.modified.fas 
# Current dir:     /public/groups/meyerlab/ditt/assemblies/hifiasm/default
# Date:            Mon Oct 17 13:48:28 2022
# [ok]
