#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
h1tg000006l:49329150-49329401   -             84 129904at3193         -            247   9.5e-18   63.2   0.5   1   1   6.2e-20   9.5e-18   63.2   0.5     9    73     2    66     1    84 0.88 -
h1tg000004l:4897154-4899201     -             63 129904at3193         -            247   1.7e-17   62.3   0.6   1   1   1.2e-19   1.8e-17   62.2   0.6    10    71     1    63     1    63 0.97 -
h1tg000019l:4723428-4728128     -            572 129904at3193         -            247   7.1e-17   60.3   1.5   1   1     9e-19   1.4e-16   59.4   1.5     8    72    24    88    17    92 0.94 -
h1tg000002l:8607752-8608914     -            106 129904at3193         -            247   3.2e-15   54.9   2.0   1   1   2.6e-17     4e-15   54.6   2.0     7    72    10    72     7    79 0.93 -
h1tg000016l:23710156-23718435   -            609 129904at3193         -            247     4e-15   54.6   0.3   1   1   5.2e-17     8e-15   53.6   0.3     6    79   327   400   322   410 0.94 -
h1tg000019l:16098007-16098255   -             83 129904at3193         -            247   4.2e-15   54.5   0.0   1   1   3.2e-17   4.8e-15   54.3   0.0     8    75     4    74     2    81 0.86 -
h1tg000009l:2038031-2039044     -            109 129904at3193         -            247   7.8e-15   53.6   1.6   1   1   6.4e-17   9.8e-15   53.3   1.6     7    71    10    71     7    79 0.93 -
h1tg000016l:24296767-24297021   -             85 129904at3193         -            247   9.3e-15   53.4   0.1   1   1   7.1e-17   1.1e-14   53.2   0.1    10    76     1    68     1    72 0.93 -
h1tg000002l:8658450-8659726     -            106 129904at3193         -            247   1.3e-14   52.9   2.2   1   1     1e-16   1.6e-14   52.6   2.2     7    72    10    72     7    79 0.93 -
h1tg000012l:11339505-11340454   -            106 129904at3193         -            247   1.3e-14   52.9   2.2   1   1     1e-16   1.6e-14   52.6   2.2     7    72    10    72     7    79 0.93 -
h1tg000019l:19933206-19933367   -             54 129904at3193         -            247   1.4e-13   49.5   0.5   1   1   9.7e-16   1.5e-13   49.4   0.5    10    61     1    54     1    54 0.92 -
h1tg000011l:16444191-16444558   -             87 129904at3193         -            247   1.5e-13   49.4   1.4   1   1   1.1e-15   1.7e-13   49.3   1.4    12    72     2    60     1    70 0.89 -
h1tg000008l:4373336-4373656     -            107 129904at3193         -            247   2.7e-13   48.6   0.0   1   1   1.9e-15   2.8e-13   48.5   0.0    12    75     2    68     1    93 0.87 -
h1tg000008l:13025508-13026137   -            117 129904at3193         -            247   6.9e-13   47.3   2.6   1   1   5.4e-15   8.2e-13   47.0   2.6    12    71     2    63     1    68 0.92 -
